link;name;price;average rating;number of ratings
https://www.airbnb.com/experiences/742435?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;World Trade Center Tour & Museum Ticket;63;New;0
https://www.airbnb.com/experiences/3664407?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;West Village Speakeasy experience;28;New;0
https://www.airbnb.com/experiences/4288140?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Walk-N-Dine, Hudson Yards at sunset;160;New;0
https://www.airbnb.com/experiences/3646788?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Visit Tribeca art galleries with an expert;48;New;0
https://www.airbnb.com/experiences/3417662?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Two hour nyc ferry experience;45;New;0
https://www.airbnb.com/experiences/4823601?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Times Square Donut Adventure by Underground Donut Tour;83;New;0
https://www.airbnb.com/experiences/2336395?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;The Steakhouse;124;New;0
https://www.airbnb.com/experiences/4164596?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;The New York City Scavenger Hunt;23;New;0
https://www.airbnb.com/experiences/4029481?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;The Luxury Rooftop and Bar Crawl Lower East Side;33;New;0
https://www.airbnb.com/experiences/1495556?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;The French Connection;124;New;0
https://www.airbnb.com/experiences/1216588?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;The Flavors of Little Levant and Little Yemen in Bay Ridge;78;New;0
https://www.airbnb.com/experiences/3674134?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;Terrarium Workshop, Sip and Plant;109;New;0
